6443
AACS	6.678	9.351	10.17	4.732	102.301	126.424	99.486	48.559	52.001	47.608	38.97	43.709	68.653	50.953	22.663	13.896	18.908	24.69	18.974	25.9	24.136	108.392	105.774	104.116	186.066	118.628	139.701	134.989
AAGAB	45.99	77.299	82.818	35.507	17.081	19.567	16.676	29.238	26.601	29.735	34.493	34.168	30.851	30.672	10.419	8.012	7.635	48.943	46.651	55.142	48.044	15.848	16.765	16.304	13.568	28.392	26.945	26.966
AAK1	54.118	45.065	49.993	28.807	17.544	16.916	18.464	3.925	3.116	2.975	1.53	1.294	1.552	1.259	13.442	7.135	13.723	9.856	7.422	12.271	7.901	4.057	4.613	4.708	2.625	9.495	8.351	8.555
AAMDC	4.347	4.129	3.338	4.136	5.582	5.972	5.326	25.096	24.153	30.819	79.496	75.895	69.209	79.314	45.895	42.294	32.641	38.216	38.719	37.771	44.111	79.735	78.213	86.477	50.067	78.088	77.035	77.214
AARS2	9.004	12.637	9.438	15.967	16.808	23.052	17.683	3.31	4.097	3.897	4.843	6.623	5.913	5.923	5.264	2.813	6.185	5.34	4.719	6.411	5.752	7.724	8.295	6.569	18.289	10.301	11.673	11.12
AASDH	22.454	19.4	18.66	25.115	4.158	4.043	4.727	8.679	7.505	10.357	6.513	5.959	4.322	5.115	5.021	6.155	5.441	5.222	3.842	6.785	4.632	9.155	9.498	10.31	7.886	21.205	19.566	20.798
AASDHPPT	38.116	39.247	41.952	46.802	39.439	24.526	31.327	58.026	53.777	54.283	78.378	87.276	91.427	78.186	22.411	27.86	17.215	40.208	41.105	39.936	40.218	37.826	43.552	44.827	68.651	74.162	68.754	70.818
ABCA1	50.43	46.281	22.982	87.645	4.027	3.626	3.999	6.981	5.559	5.488	8.801	6.315	6.602	6.054	36.846	40.207	37.8	24.441	17.025	33.812	18.425	2.129	2.209	2.391	4.451	14.13	14.468	13.365
ABCA2	3.271	3.84	3.496	5.384	26.29	27.075	29.229	8.764	9.431	7.883	3.426	2.955	4.237	4.942	22.377	19.067	35.656	2.092	1.457	2.32	1.838	6.132	7.305	5.566	12.02	9.552	10.981	10.225
ABCB10	28.879	18.698	26.26	19.193	65.812	52.126	56.895	16.304	15.761	17.233	25.706	25.244	28.449	25.976	21.648	27.471	26.044	8.471	7.559	7.875	6.577	8.581	8.79	10.281	8.764	18.406	18.043	18.056
ABCB7	21.871	17.096	16.177	23.237	28.289	17.678	23.686	21.805	18.771	20.6	49.396	45.245	44.443	42.282	20.346	20.113	24.423	10.248	10.381	8.401	9.272	13.523	14.636	14.883	25.035	42.342	36.028	38.106
ABCB8	3.35	3.133	4.808	2.13	25.213	27.088	27.007	18.605	20.612	18.462	14.003	12.697	16.616	16.833	26.302	17.846	29.107	44.094	35.517	49.339	41.345	34.917	35.872	31.993	31.034	38.786	42.361	41.28
ABCC10	5.496	3.735	5.291	3.876	3.781	5.851	4.522	3.67	4.289	3.519	6.627	5.249	6.114	7.732	14.14	11.93	17.768	1.71	1.191	3.25	1.649	6.724	7.221	5.756	17.646	4.815	5.576	5.191
ABCC5	12.191	11.941	8.636	16.578	32.687	29.408	30.803	17.43	15.078	18.786	5.203	4.515	6.541	5.659	15.962	9.062	19.759	5.569	3.499	6.658	3.951	2.186	2.544	2.433	13.89	11.505	12.589	12.833
ABCD1	2.525	3.576	3.829	1.832	3.785	4.287	3.569	10.366	11.487	9.521	4.157	5.243	6.579	5.409	25.692	25.149	34.405	1.643	1.681	2.357	1.654	15.907	16.568	14.94	50.16	32.428	34.473	30.907
ABCD3	8.918	4.367	5.504	6.643	46.43	35.304	43.148	43.235	39.08	40.466	93.391	85.65	72.351	72.913	40.124	38.149	33.906	34.425	28.704	35.117	33.417	25.207	29.223	33.469	19.525	28.602	24.39	26.431
